"DT_GERACAO";"HH_GERACAO";"CD_PLEITO";"SG_UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"NR_URNA_ESPERADA";"CD_CARGA_URNA_ESPERADA";"CD_FLASHCARD_URNA_ESPERADA";"DT_CARGA_URNA_ESPERADA";"ST_CORRESP_ALTERADA"
"27/10/2018";"14:41:59";"229";"AC";"01570";"ASSIS BRASIL";"6";"1176959";"153681156120986041876127";"23C345C4";"27/09/2018 09:49:00";"*"
"27/10/2018";"14:41:59";"229";"AC";"01570";"ASSIS BRASIL";"6";"1175789";"325398328837344082046955";"23C345C4";"27/09/2018 11:49:00";"*"
"27/10/2018";"14:41:59";"229";"AC";"01570";"ASSIS BRASIL";"6";"1174553";"244590247029516527410814";"23C345C4";"27/09/2018 09:41:00";"*"
"27/10/2018";"14:41:59";"229";"AC";"01570";"ASSIS BRASIL";"6";"1105693";"971863972602835025482527";"23C345C4";"27/09/2018 11:38:00";"*"
"27/10/2018";"14:41:59";"229";"AC";"01570";"ASSIS BRASIL";"6";"1104820";"709136700075210975163584";"23C345C4";"27/09/2018 10:52:00";"*"
"27/10/2018";"14:41:59";"229";"AC";"01570";"ASSIS BRASIL";"6";"1101091";"507116508355067106256812";"23C345C4";"27/09/2018 10:44:00";"*"
"27/10/2018";"14:41:59";"229";"AC";"01570";"ASSIS BRASIL";"6";"1072106";"790045794484562206517998";"23C345C4";"27/09/2018 11:28:00";"*"
"27/10/2018";"14:41:59";"229";"AC";"01570";"ASSIS BRASIL";"6";"1071674";"577823570762328492154267";"23C345C4";"27/09/2018 10:38:00";"*"
"27/10/2018";"14:41:59";"229";"AC";"01554";"MANOEL URBANO";"3";"1107252";"397472390575932684038608";"67F57686";"26/09/2018 17:57:00";"*"
"27/10/2018";"14:41:59";"229";"AC";"01554";"MANOEL URBANO";"3";"1106174";"367169362672567681056987";"67F57686";"26/09/2018 18:07:00";"*"
"27/10/2018";"14:41:59";"229";"AC";"01554";"MANOEL URBANO";"3";"1105834";"690402695505867756857991";"67F57686";"26/09/2018 17:43:00";"*"
"27/10/2018";"14:41:59";"229";"AC";"01554";"MANOEL URBANO";"3";"1104778";"680301681804924548214575";"67F57686";"20/10/2018 14:41:00";"*"
"27/10/2018";"14:41:59";"229";"AC";"01554";"MANOEL URBANO";"3";"1104748";"498482496685172695026633";"67F57686";"27/09/2018 15:03:00";"*"
"27/10/2018";"14:41:59";"229";"AC";"01554";"MANOEL URBANO";"3";"1104381";"609593603096542223774699";"67F57686";"26/09/2018 18:12:00";"*"
"27/10/2018";"14:41:59";"229";"AC";"01554";"MANOEL URBANO";"3";"1104090";"104543106146996187914715";"67F57686";"21/10/2018 10:41:00";"*"
"27/10/2018";"14:41:59";"229";"AC";"01554";"MANOEL URBANO";"3";"1103250";"781311789014334713141388";"67F57686";"21/10/2018 10:10:00";"*"
"27/10/2018";"14:41:59";"229";"AC";"01554";"MANOEL URBANO";"3";"1101968";"538886537989555372312994";"67F57686";"27/09/2018 14:53:00";"*"
